index:ID,effect,:LABEL
GX_1,慢性支气管炎,effect
GX_2,吐泻,effect
GX_3,龋齿,effect
GX_4,通经止痛,effect
GX_5,宽胸散结,effect
GX_6,复脉,effect
GX_7,小儿肺炎,effect
GX_8,白浊,effect
GX_9,柔肝,effect
GX_10,理气疏肝,effect
GX_11,消疳,effect
GX_12,润肺化痰,effect
GX_13,散热,effect
GX_14,白带,effect
GX_15,生发乌发,effect
GX_16,理气止痛,effect
GX_17,风湿性腰腿痛,effect
GX_18,吐逆,effect
GX_19,散瘀解毒,effect
GX_20,散瘀定痛,effect
GX_21,虚痨咳嗽,effect
GX_22,解痉止痛,effect
GX_23,温经化瘀,effect
GX_24,遗尿尿频,effect
GX_25,清热镇惊,effect
GX_26,杀虫解毒,effect
GX_27,食积胀痛,effect
GX_28,开郁和中,effect
GX_29,清肺热,effect
GX_30,外用治烧烫伤,effect
GX_31,散寒,effect
GX_32,利水通淋,effect
GX_33,温通经脉,effect
GX_34,化痰散痞,effect
GX_35,疏肝利胆,effect
GX_36,平肝镇惊,effect
GX_37,主月经不调,effect
GX_38,折伤,effect
GX_39,止盗汗,effect
GX_40,调经止带,effect
GX_41,活络,effect
GX_42,睾丸肿痛,effect
GX_43,小儿头疮,effect
GX_44,外用杀虫,effect
GX_45,镇惊祛风,effect
GX_46,止咳化痰,effect
GX_47,产后出血,effect
GX_48,蛔虫腹痛,effect
GX_49,解暑,effect
GX_50,皮肤湿疹,effect
GX_51,散癣,effect
GX_52,皮肤瘙痒,effect
GX_53,解毒生肌,effect
GX_54,润心肺,effect
GX_55,肠燥便秘,effect
GX_56,排石,effect
GX_57,清利湿热,effect
GX_58,消痈肿,effect
GX_59,污水逐饮,effect
GX_60,活血消斑,effect
GX_61,益精明目,effect
GX_62,尿血崩漏,effect
GX_63,除寒,effect
GX_64,治虚弱,effect
GX_65,清心化痰,effect
GX_66,通乳,effect
GX_67,小便淋浊,effect
GX_68,滑肠通便,effect
GX_69,瘰疬,effect
GX_70,利膈,effect
GX_71,石淋,effect
GX_72,出血,effect
GX_73,止咳祛痰,effect
GX_74,痈肿疮毒,effect
GX_75,恶疮,effect
GX_76,淋浊,effect
GX_77,益气养血调经,effect
GX_78,顽癣,effect
GX_79,痈疽,effect
GX_80,回乳,effect
GX_81,凉血解毒,effect
GX_82,固肾,effect
GX_83,益气强心,effect
GX_84,解表宣肺,effect
GX_85,小儿食积,effect
GX_86,蛔虫病,effect
GX_87,清热通便,effect
GX_88,妊娠,effect
GX_89,清肺化痰,effect
GX_90,痈疽疮疡,effect
GX_91,产后乳少,effect
GX_92,乳肿,effect
GX_93,疣赘,effect
GX_94,气虚,effect
GX_95,化痰镇惊,effect
GX_96,凉血通淋,effect
GX_97,翳障,effect
GX_98,呕血,effect
GX_99,纳气平喘,effect
GX_100,乳汁不下,effect
GX_101,消瘀止痛,effect
GX_102,消肿止血,effect
GX_103,顺气,effect
GX_104,肾炎水肿,effect
GX_105,升发清阳,effect
GX_106,血虚,effect
GX_107,芳香化湿,effect
GX_108,温阳散寒,effect
GX_109,淋证,effect
GX_110,消食积,effect
GX_111,反胃,effect
GX_112,消肿定痛,effect
GX_113,益气摄血。用于体虚欲脱,effect
GX_114,燥湿消痰,effect
GX_115,安神开窍,effect
GX_116,头晕,effect
GX_117,清热利咽,effect
GX_118,镇静,effect
GX_119,风热咳嗽,effect
GX_120,咽喉疼痛,effect
GX_121,生发,effect
GX_122,目暗不明,effect
GX_123,温中理气,effect
GX_124,惊悸,effect
GX_125,消食通便,effect
GX_126,破血软坚,effect
GX_127,内伤,effect
GX_128,益肾强骨,effect
GX_129,尿频,effect
GX_130,跌打伤,effect
GX_131,脓血,effect
GX_132,散血解毒,effect
GX_133,理气止呕,effect
GX_134,温经,effect
GX_135,健脾和胃,effect
GX_136,主湿热,effect
GX_137,乳汁不足,effect
GX_138,止烦渴,effect
GX_139,疮疡肿毒,effect
GX_140,宣肺平喘,effect
GX_141,疗疮,effect
GX_142,消滞,effect
GX_143,眼结膜炎,effect
GX_144,养阴清肺,effect
GX_145,收涩止血,effect
GX_146,秃疮,effect
GX_147,涩肠止泻,effect
GX_148,祛风解毒,effect
GX_149,阴虚火旺,effect
GX_150,开胃止呕,effect
GX_151,益肝养胃,effect
GX_152,清肺,effect
GX_153,助阳止泻,effect
GX_154,益肾利尿,effect
GX_155,平肝熄风,effect
GX_156,尿路感染,effect
GX_157,咯血,effect
GX_158,抗癌,effect
GX_159,解表散寒,effect
GX_160,溃疡病,effect
GX_161,游风,effect
GX_162,痨热,effect
GX_163,温脾止泻,effect
GX_164,止嗽,effect
GX_165,筋骨疼痛,effect
GX_166,止血止痛,effect
GX_167,下乳汁,effect
GX_168,祛寒止痛,effect
GX_169,降气化痰,effect
GX_170,消癫化瘀,effect
GX_171,除风,effect
GX_172,补五脏,effect
GX_173,安五脏,effect
GX_174,湿疮,effect
GX_175,固表,effect
GX_176,祛风止痒,effect
GX_177,疮疡不敛,effect
GX_178,滋阴止血,effect
GX_179,利湿去浊,effect
GX_180,止呕吐,effect
GX_181,出汗,effect
GX_182,疮痈肿毒,effect
GX_183,行气血,effect
GX_184,润肺止咳,effect
GX_185,祛风通铬,effect
GX_186,辟瘟,effect
GX_187,通鼻窍,effect
GX_188,益精血,effect
GX_189,凉血散瘀,effect
GX_190,蛇咬,effect
GX_191,宣散风热,effect
GX_192,理气安胎,effect
GX_193,补肝肾,effect
GX_194,解表祛风,effect
GX_195,杀虫,effect
GX_196,痔瘘,effect
GX_197,止咳定喘,effect
GX_198,肠风下血,effect
GX_199,小便淋涩,effect
GX_200,升阳,effect
GX_201,清热解表,effect
GX_202,补益心脾,effect
GX_203,养阴生津,effect
GX_204,胃气痛,effect
GX_205,流风解表,effect
GX_206,小便涩痛,effect
GX_207,清热解暑,effect
GX_208,清肝,effect
GX_209,催乳,effect
GX_210,益气摄血,effect
GX_211,补虚弱,effect
GX_212,虫咬伤,effect
GX_213,水气浮肿,effect
GX_214,耳鸣耳聋,effect
GX_215,补肾健脑,effect
GX_216,开窍醒神,effect
GX_217,坐骨神经痛,effect
GX_218,通经,effect
GX_219,结膜炎,effect
GX_220,癣疥,effect
GX_221,消食导滞,effect
GX_222,聪耳明目,effect
GX_223,腹泻,effect
GX_224,益脑清心,effect
GX_225,醒脾,effect
GX_226,滋补气血,effect
GX_227,芳香温通,effect
GX_228,赤眼,effect
GX_229,胃脘疼痛,effect
GX_230,神昏,effect
GX_231,痔疮,effect
GX_232,甲状腺肿,effect
GX_233,症瘕积聚,effect
GX_234,和中利湿,effect
GX_235,肠炎腹泻,effect
GX_236,去三虫,effect
GX_237,行气导滞,effect
GX_238,消斑,effect
GX_239,调和滋补,effect
GX_240,烫火伤,effect
GX_241,胞衣不下,effect
GX_242,疝气,effect
GX_243,肺炎,effect
GX_244,经闭痛经,effect
GX_245,止小便利,effect
GX_246,止咳,effect
GX_247,头昏,effect
GX_248,行气温中,effect
GX_249,邪气,effect
GX_250,创伤,effect
GX_251,肠胃炎,effect
GX_252,鹅口疮,effect
GX_253,气管炎,effect
GX_254,清热生津,effect
GX_255,清热化湿,effect
GX_256,生津止泻,effect
GX_257,急性黄疸型肝炎,effect
GX_258,寒湿,effect
GX_259,排脓止血,effect
GX_260,目赤肿痛,effect
GX_261,红白痢疾,effect
GX_262,中风,effect
GX_263,咽喉红肿,effect
GX_264,补肺,effect
GX_265,风疹,effect
GX_266,豁痰,effect
GX_267,行气解郁,effect
GX_268,烦闷,effect
GX_269,血瘀经闭,effect
GX_270,慢性肝炎,effect
GX_271,芳香药、调味药及驱风药,effect
GX_272,瘀血,effect
GX_273,泻肝胆火,effect
GX_274,目赤,effect
GX_275,食积胀满,effect
GX_276,痈疽疮肿,effect
GX_277,健脾补肾,effect
GX_278,舒筋活血,effect
GX_279,散风,effect
GX_280,温补,effect
GX_281,行气消痞,effect
GX_282,喘咳,effect
GX_283,平抑肝阳,effect
GX_284,胁痛,effect
GX_285,支气管炎,effect
GX_286,补肾助阳,effect
GX_287,心腹瘀痛,effect
GX_288,健脾养心,effect
GX_289,活血通络,effect
GX_290,消宿食,effect
GX_291,疔毒,effect
GX_292,涤痰逐饮,effect
GX_293,斑疹,effect
GX_294,补肾阳,effect
GX_295,缩小便,effect
GX_296,活血止痛,effect
GX_297,清热空肺,effect
GX_298,头疮,effect
GX_299,发斑,effect
GX_300,泄泻痢疾,effect
GX_301,消食健胃,effect
GX_302,支气管哮喘,effect
GX_303,虚损,effect
GX_304,滋肾平肝,effect
GX_305,清热燥湿,effect
GX_306,益肾填精,effect
GX_307,开胃,effect
GX_308,疗癖,effect
GX_309,定惊搐,effect
GX_310,润肤,effect
GX_311,消痔,effect
GX_312,去瘀,effect
GX_313,恶疮肿毒,effect
GX_314,肠鸣,effect
GX_315,涩肠止泻。用于脾胃虚寒.久泻不止,effect
GX_316,调经止痛,effect
GX_317,温肾阳,effect
GX_318,四肢拘挛,effect
GX_319,退目翳,effect
GX_320,发汗散寒,effect
GX_321,养心益气,effect
GX_322,瘰疬痰核,effect
GX_323,祛痰通便,effect
GX_324,疏散风热,effect
GX_325,心悸失眠,effect
GX_326,胃脘痛,effect
GX_327,烦躁,effect
GX_328,慢性气管炎,effect
GX_329,滋补强壮,effect
GX_330,伤寒,effect
GX_331,解毒利尿,effect
GX_332,引火归源,effect
GX_333,疏风散寒,effect
GX_334,久病体虚,effect
GX_335,风湿关节炎,effect
GX_336,子宫出血,effect
GX_337,扁桃腺炎,effect
GX_338,痰血,effect
GX_339,下气宽中,effect
GX_340,明耳目,effect
GX_341,生津利咽,effect
GX_342,体癣,effect
GX_343,松风通痹,effect
GX_344,治肺,effect
GX_345,疝气疼痛,effect
GX_346,益气补血,effect
GX_347,产难,effect
GX_348,益气养阴,effect
GX_349,引赤发泡,effect
GX_350,水痘,effect
GX_351,神经性头痛,effect
GX_352,祛暑避秽,effect
GX_353,梦遗,effect
GX_354,产后恶露不尽,effect
GX_355,宽中下气,effect
GX_356,消肿止痛,effect
GX_357,补脾益气,effect
GX_358,化腐生肌,effect
GX_359,腰腿疼痛,effect
GX_360,除烦,effect
GX_361,平喘止咳,effect
GX_362,清热止咳,effect
GX_363,发散风热,effect
GX_364,润肠燥,effect
GX_365,腰膝酸痛,effect
GX_366,健脾,effect
GX_367,肺燥咳嗽,effect
GX_368,活血行气,effect
GX_369,腰膝冷痛,effect
GX_370,消肿散瘀,effect
GX_371,溃疡,effect
GX_372,泻痢,effect
GX_373,小便不利,effect
GX_374,蛔虫,effect
GX_375,去瘀生新,effect
GX_376,解鱼蟹毒,effect
GX_377,风寒感冒,effect
GX_378,祛暑,effect
GX_379,积滞,effect
GX_380,涤饮,effect
GX_381,清热毒,effect
GX_382,生血止血,effect
GX_383,祛瘀定痛,effect
GX_384,活血解毒,effect
GX_385,醒酒,effect
GX_386,气滞,effect
GX_387,肺痨,effect
GX_388,鼻塞,effect
GX_389,解热毒,effect
GX_390,养血调经,effect
GX_391,金疮,effect
GX_392,胃阴不足,effect
GX_393,主疟疾,effect
GX_394,治内伤,effect
GX_395,止咳平喘祛痰,effect
GX_396,气不摄血,effect
GX_397,呃逆,effect
GX_398,奔豚,effect
GX_399,祛风通络,effect
GX_400,阳痿遗精,effect
GX_401,营养不良,effect
GX_402,食积不化,effect
GX_403,清热消炎,effect
GX_404,固脱,effect
GX_405,膀胱炎,effect
GX_406,消热解毒,effect
GX_407,益肾,effect
GX_408,肢体麻木,effect
GX_409,降血压,effect
GX_410,骨蒸盗汗,effect
GX_411,糖尿病,effect
GX_412,腹痛,effect
GX_413,温中止痛,effect
GX_414,祛风清热,effect
GX_415,脚气浮肿,effect
GX_416,舒肝利胆,effect
GX_417,活血通络止痛,effect
GX_418,通脉平喘,effect
GX_419,烧烫伤,effect
GX_420,疖肿,effect
GX_421,污肺平喘,effect
GX_422,调冲任,effect
GX_423,咳喘痰多,effect
GX_424,疔疮,effect
GX_425,行气,effect
GX_426,散瘀消肿,effect
GX_427,主消渴,effect
GX_428,痈疖疔疮,effect
GX_429,热毒疮疡,effect
GX_430,乌发,effect
GX_431,虚痨,effect
GX_432,落胎,effect
GX_433,主脾虚,effect
GX_434,浸酒,effect
GX_435,麻风,effect
GX_436,大腹,effect
GX_437,淋巴腺炎,effect
GX_438,主气滞,effect
GX_439,消暑,effect
GX_440,宽肠,effect
GX_441,退虚热,effect
GX_442,法痰止咳,effect
GX_443,赤白痢,effect
GX_444,活血止血,effect
GX_445,除骨蒸,effect
GX_446,痈疽发背,effect
GX_447,咳嗽,effect
GX_448,除痰截疟,effect
GX_449,消积,effect
GX_450,心绞痛,effect
GX_451,止崩漏,effect
GX_452,跌打,effect
GX_453,肿瘤,effect
GX_454,维吾尔医:补肾活血,effect
GX_455,活血养血,effect
GX_456,补虚劳,effect
GX_457,瘿瘤,effect
GX_458,口眼歪斜,effect
GX_459,刀伤,effect
GX_460,消痞,effect
GX_461,主感冒,effect
GX_462,温暖脾肾,effect
GX_463,黄疽,effect
GX_464,强筋,effect
GX_465,疔肿,effect
GX_466,益气活血,effect
GX_467,瘰疬结核,effect
GX_468,缩尿,effect
GX_469,瘀血腹痛,effect
GX_470,肺痨咳血,effect
GX_471,清热凉血,effect
GX_472,皮肤病,effect
GX_473,利气,effect
GX_474,利尿消肿,effect
GX_475,齿痛,effect
GX_476,利咽开音,effect
GX_477,清热疏风,effect
GX_478,温肺豁痰利气,effect
GX_479,通痹止痛,effect
GX_480,补气益血,effect
GX_481,肝热目赤,effect
GX_482,乳腺炎,effect
GX_483,行血祛瘀,effect
GX_484,天疱疮,effect
GX_485,乳痈肿痛,effect
GX_486,补肺止咳,effect
GX_487,癌肿,effect
GX_488,化浊降脂,effect
GX_489,涩肠敛肺,effect
GX_490,宁心,effect
GX_491,清心肺,effect
GX_492,骨折肿痛,effect
GX_493,益气生津,effect
GX_494,痰火,effect
GX_495,利五脏,effect
GX_496,疮疡肿痛,effect
GX_497,红崩,effect
GX_498,消肿散结,effect
GX_499,明目退翳,effect
GX_500,脾虚泄泻,effect
GX_501,健胃止痛,effect
GX_502,养血息风,effect
GX_503,祛风和胃,effect
GX_504,补火,effect
GX_505,收敛止血,effect
GX_506,益气血,effect
GX_507,冷痢,effect
GX_508,虚咳,effect
GX_509,温中散寒,effect
GX_510,热淋,effect
GX_511,补脾胃,effect
GX_512,舒筋络,effect
GX_513,失音,effect
GX_514,降逆除烦,effect
GX_515,黄疸,effect
GX_516,通窍,effect
GX_517,攻毒,effect
GX_518,痄腮,effect
GX_519,利大小肠,effect
GX_520,蛇犬咬伤,effect
GX_521,止痛止血,effect
GX_522,消胀,effect
GX_523,胸闷,effect
GX_524,平肝安神,effect
GX_525,退翳,effect
GX_526,失眠,effect
GX_527,补气养血,effect
GX_528,利二便,effect
GX_529,补肾固齿,effect
GX_530,燥湿祛痰,effect
GX_531,利湿通淋,effect
GX_532,痈疖肿毒,effect
GX_533,遗精,effect
GX_534,急性肠炎,effect
GX_535,泻火除蒸,effect
GX_536,搜风通络,effect
GX_537,血吸虫病,effect
GX_538,醒神开窍,effect
GX_539,化痰导滞,effect
GX_540,舒肝行气止痛,effect
GX_541,风痹,effect
GX_542,纳呆,effect
GX_543,杀虫消积,effect
GX_544,水火烫伤,effect
GX_545,降压,effect
GX_546,散寒行气,effect
GX_547,虚劳,effect
GX_548,理跌打伤,effect
GX_549,水肿胀满,effect
GX_550,镇咳,effect
GX_551,生津润燥,effect
GX_552,健忘,effect
GX_553,清音利咽,effect
GX_554,温疟,effect
GX_555,疳疮,effect
GX_556,咳喘,effect
GX_557,去湿,effect
GX_558,外用治疔疮,effect
GX_559,泻热行滞,effect
GX_560,治肠炎,effect
GX_561,肝胃气痛,effect
GX_562,咬伤,effect
GX_563,风湿痹证,effect
GX_564,祛风解表,effect
GX_565,开窍豁痰,effect
GX_566,痈疖,effect
GX_567,驱风,effect
GX_568,解毒止痒,effect
GX_569,温经散寒,effect
GX_570,壮阳,effect
GX_571,疔疮肿毒,effect
GX_572,泻水,effect
GX_573,疏风清热,effect
GX_574,生津液,effect
GX_575,痞满,effect
GX_576,感冒咳嗽,effect
GX_577,益肾和血,effect
GX_578,涩精止血,effect
GX_579,散风除湿,effect
GX_580,散瘀,effect
GX_581,扶正固本,effect
GX_582,息风,effect
GX_583,目昏,effect
GX_584,清肺利咽,effect
GX_585,暖宫,effect
GX_586,养血补心,effect
GX_587,镇痛、防腐,effect
GX_588,通淋,effect
GX_589,祛风除湿,effect
GX_590,温肾补精,effect
GX_591,滋阴补肾,effect
GX_592,止痛止泻,effect
GX_593,通小肠,effect
GX_594,肺脓疡,effect
GX_595,祛风杀虫,effect
GX_596,逐痰,effect
GX_597,助阳,effect
GX_598,腰膝无力,effect
GX_599,消痈散结,effect
GX_600,喉痹,effect
GX_601,宣肺、化痰、止咳,effect
GX_602,止痢止泻,effect
GX_603,安胎,effect
GX_604,浮肿,effect
GX_605,气痛,effect
GX_606,解痉,effect
GX_607,益气复脉,effect
GX_608,扁桃体炎,effect
GX_609,热痢,effect
GX_610,夜盲症,effect
GX_611,去风,effect
GX_612,祛瘀止痛,effect
GX_613,治慢性,effect
GX_614,青盲,effect
GX_615,外用蚀疮,effect
GX_616,收湿敛疮,effect
GX_617,肝炎,effect
GX_618,虫积,effect
GX_619,暑湿,effect
GX_620,安神定喘,effect
GX_621,下气除满,effect
GX_622,消食除胀,effect
GX_623,消炎止痛,effect
GX_624,补虚,effect
GX_625,杀虫攻积,effect
GX_626,活络止痛,effect
GX_627,腰腿痛,effect
GX_628,清暑,effect
GX_629,蛲虫病,effect
GX_630,消渴,effect
GX_631,解毒明目退翳,effect
GX_632,止消渴,effect
GX_633,慢性骨髓炎,effect
GX_634,补气健脾,effect
GX_635,十二指肠溃疡,effect
GX_636,安神益智,effect
GX_637,养阴,effect
GX_638,治热病,effect
GX_639,清肝泻火,effect
GX_640,腰腿,effect
GX_641,清心,effect
GX_642,和胃,effect
GX_643,鹅掌风,effect
GX_644,补肾强腰,effect
GX_645,填骨髓,effect
GX_646,鼻炎,effect
GX_647,肠风,effect
GX_648,惊痫,effect
GX_649,发汗,effect
GX_650,胸痛,effect
GX_651,化痞消积,effect
GX_652,退肿,effect
GX_653,暖胃,effect
GX_654,湿疹,effect
GX_655,除湿止痛,effect
GX_656,夜盲,effect
GX_657,清火,effect
GX_658,主黄疸,effect
GX_659,涩肠,effect
GX_660,宽中除满,effect
GX_661,四肢无力,effect
GX_662,急性胃肠炎,effect
GX_663,劳伤吐血,effect
GX_664,消痰涤饮,effect
GX_665,肺结核咯血,effect
GX_666,风湿麻木,effect
GX_667,解肌退热,effect
GX_668,化痰止咳,effect
GX_669,肾虚阳痿,effect
GX_670,清热明目,effect
GX_671,解癌止痛,effect
GX_672,久痢,effect
GX_673,手足麻木,effect
GX_674,行瘀,effect
GX_675,解热,effect
GX_676,健脾利湿,effect
GX_677,止咳嗽,effect
GX_678,狗咬伤,effect
GX_679,散寒镇痛,effect
GX_680,通脉,effect
GX_681,尿闭,effect
GX_682,调节异常体液,effect
GX_683,阳痿,effect
GX_684,咳嗽痰喘,effect
GX_685,调经活血,effect
GX_686,温经活血,effect
GX_687,补益肺肾、秘精益气,effect
GX_688,祛暑解毒,effect
GX_689,主咳嗽,effect
GX_690,补牌和胃,effect
GX_691,清阳,effect
GX_692,退热,effect
GX_693,蛲虫,effect
GX_694,自汗,effect
GX_695,开音,effect
GX_696,滋阴养血,effect
GX_697,退黄,effect
GX_698,去风湿,effect
GX_699,温肺平喘,effect
GX_700,脱肛,effect
GX_701,散郁火,effect
GX_702,潮热,effect
GX_703,子宫脱垂,effect
GX_704,解毒止痢,effect
GX_705,免疫调节剂,effect
GX_706,崩漏下血,effect
GX_707,重镇安神,effect
GX_708,通滞,effect
GX_709,滋阴清热。用于热病津伤,effect
GX_710,温胃理气,effect
GX_711,温肺化饮,effect
GX_712,温补肝肾,effect
GX_713,回阳通脉,effect
GX_714,哮喘,effect
GX_715,鲜地黄  清热生津,effect
GX_716,固肾涩精,effect
GX_717,痈疮,effect
GX_718,泄热,effect
GX_719,脓疱疮,effect
GX_720,定惊豁痰,effect
GX_721,健胃,effect
GX_722,补肾涩精,effect
GX_723,宣肺通窍,effect
GX_724,肺虚,effect
GX_725,利湿,effect
GX_726,风寒咳嗽,effect
GX_727,辟秽开窍,effect
GX_728,补气安神,effect
GX_729,冷积,effect
GX_730,逐瘀,effect
GX_731,益胃,effect
GX_732,火烫伤,effect
GX_733,解表清热,effect
GX_734,白带过多,effect
GX_735,益气补中,effect
GX_736,内出血,effect
GX_737,天泡疮,effect
GX_738,咳逆,effect
GX_739,滋补肝肾,effect
GX_740,疏风止痛,effect
GX_741,骨痛,effect
GX_742,宁心安神,effect
GX_743,骨结核,effect
GX_744,利气宽胸,effect
GX_745,养肝,effect
GX_746,安神定惊,effect
GX_747,补气固表,effect
GX_748,脘腹胀痛,effect
GX_749,小儿高热,effect
GX_750,妇女血崩,effect
GX_751,下气,effect
GX_752,风热,effect
GX_753,芳香开窍,effect
GX_754,钩端螺旋体病,effect
GX_755,治虚损,effect
GX_756,助消化,effect
GX_757,泌尿系结石,effect
GX_758,法风化痰,effect
GX_759,开窍止痛,effect
GX_760,利胆退黄,effect
GX_761,祛风化湿,effect
GX_762,麻痹,effect
GX_763,咽痛,effect
GX_764,温胃止呕,effect
GX_765,下乳,effect
GX_766,消痰化瘀,effect
GX_767,癞疮,effect
GX_768,痈疮肿毒,effect
GX_769,胸腹胀痛,effect
GX_770,乳疮,effect
GX_771,黄肿,effect
GX_772,消食化积,effect
GX_773,疥疮,effect
GX_774,舒肝止痛,effect
GX_775,泻寒积,effect
GX_776,健脾益气,effect
GX_777,清热涤痰,effect
GX_778,疠风,effect
GX_779,通利,effect
GX_780,助阳益精,effect
GX_781,定志,effect
GX_782,接骨,effect
GX_783,消癥积,effect
GX_784,肾盂肾炎,effect
GX_785,风湿热痹,effect
GX_786,蛇伤,effect
GX_787,芳香化浊,effect
GX_788,神经痛,effect
GX_789,跌扑肿痛,effect
GX_790,化滞,effect
GX_791,经闭腹痛,effect
GX_792,外伤,effect
GX_793,托毒,effect
GX_794,瘀滞,effect
GX_795,解表通里,effect
GX_796,清热豁痰,effect
GX_797,祛痰止咳,effect
GX_798,脘腹疼痛,effect
GX_799,息风定惊,effect
GX_800,乳痈,effect
GX_801,宽胸,effect
GX_802,五劳七伤,effect
GX_803,温中降逆,effect
GX_804,瘀血肿痛,effect
GX_805,肺结核咳血,effect
GX_806,关节炎,effect
GX_807,不思饮食,effect
GX_808,益肝肾,effect
GX_809,消食和中,effect
GX_810,行气和胃,effect
GX_811,腰膝酸软,effect
